Feature_ID,Feature_Name,Clean_Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Northern_Latitude,Southern_Latitude,Eastern_Longitude,Western_Longitude,Coordinate_System,Continent,Ethnicity,Feature_Type,Feature_Type_Code,Quad,Approval_Status,Approval_Date,Reference,Origin,Additional_Info,Last_Updated
4,Abalos Colles,Abalos Colles,Mars,235.83,76.83,288.35,78.78,74.81,293.39,284.54,Planetocentric  +East  0 - 360,Europe,Roman,"Collis, colles",CO,mc01,Approved,2003,57,"Named for classical albedo feature at 72N, 70W.",,10/1/2006
14147,Abalos Mensa,Abalos Mensa,Mars,129.18,81.17,284.4,82.4,80.21,290.52,279.34,Planetocentric  +East  0 - 360,Europe,Roman,"Mensa, mensae",MN,mc01,Approved,2006,57,Classical albedo feature name.,,7/24/2008
14148,Abalos Scopuli,Abalos Scopuli,Mars,109.16,80.72,283.44,81.96,80.2,290.52,279.47,Planetocentric  +East  0 - 360,Europe,Roman,"Scopulus, scopuli",SC,mc01,Approved,2006,57,Classical albedo feature name.,,7/24/2008
5,Abalos Undae,Abalos Undae,Mars,442.74,78.52,272.5,82.2,74.94,283.03,261.4,Planetocentric  +East  0 - 360,Europe,Roman,"Unda, undae",UN,mc01,Approved,1988,57,"Classical albedo feature at 72N, 70W.",,10/1/2006
6,Aban,Aban,Mars,4.28,15.91,111.1,15.94,15.87,111.14,111.06,Planetocentric  +East  0 - 360,Europe,Russia,"Crater, craters",AA,mc14,Approved,1988,36,Town in Russia.,,11/17/2010
25,Abus Vallis,Abus Vallis,Mars,60.99,-5.49,212.8,-5.02,-5.99,212.84,212.72,Planetocentric  +East  0 - 360,Europe,Great Britain,"Vallis, valles",VA,mc16,Approved,1985,56,Classical name for Humber River in England.,,10/1/2006
31,Achar,Achar,Mars,5.36,45.43,123.16,45.48,45.39,123.23,123.1,Planetocentric  +East  0 - 360,South and Central America,Uruguay,"Crater, craters",AA,mc07,Approved,1979,36,Town in Uruguay.,,11/17/2010
34,Acheron Catena,Acheron Catena,Mars,421.77,37.47,259.2,40.7,33.51,261.71,256.71,Planetocentric  +East  0 - 360,Europe,Greek,"Catena, catenae",CA,mc03,Approved,1979,57,"Named for classical albedo feature at 35N, 140W.",,10/1/2006
35,Acheron Fossae,Acheron Fossae,Mars,703.11,38.27,224.98,40.03,31.47,230.92,216.9,Planetocentric  +East  0 - 360,Europe,Greek,"Fossa, fossae",FO,mc02,Approved,1979,57,"From classical albedo feature at 35N, 140W.",,10/1/2006
36,Acidalia Colles,Acidalia Colles,Mars,356.3,50.34,336.91,52.96,48.42,340.37,331.77,Planetocentric  +East  0 - 360,Europe,Greek,"Collis, colles",CO,mc04,Approved,2000,71,From classical albedo feature name.,,10/1/2006
37,Acidalia Mensa,Acidalia Mensa,Mars,226.86,46.69,334.66,48.69,45.03,337.03,331.81,Planetocentric  +East  0 - 360,Europe,Greek,"Mensa, mensae",MN,mc04,Approved,2000,71,From classical albedo feature name.,,10/1/2006
38,Acidalia Planitia,Acidalia Planitia,Mars,3362.97,49.76,339.26,68.67,14.76,15,305,Planetocentric  +East  0 - 360,Europe,Greek,"Planitia, planitiae",PL,mc04,Approved,1973,57,"From classical albedo feature at 44N, 21W.",,7/30/2013
14182,Ada,Ada,Mars,2.09,-3.06,356.78,-3.04,-3.08,356.79,356.76,Planetocentric  +East  0 - 360,North America,United States,"Crater, craters",AA,mc19,Approved,14-Sep-06,74,"Town in Oklahoma, USA.",,11/17/2010
45,Adamas Labyrinthus,Adamas Labyrinthus,Mars,853,35.7,105.12,41.07,30.34,111.46,96.27,Planetocentric  +East  0 - 360,Europe,Greek,"Labyrinthus, labyrinthi",LB,mc06,Approved,1982,57,"Classical albedo feature name; ""A River of Diamonds""; today's River Sarbarnarekha in India.",,10/1/2006
46,Adams,Adams,Mars,90.22,30.91,163.1,31.68,30.15,163.99,162.22,Planetocentric  +East  0 - 360,North America,American,"Crater, craters",AA,mc07,Approved,1973,68,Walter S.; American astronomer (1876-1956).,,11/17/2010
65,Aeolis,Aeolis,Mars,0,-4.94,145,-4.94,-4.94,145,145,Planetocentric  +East  0 - 360,Europe,Greek,Albedo Feature,AL,mc23,Approved,1958,60,Floating island where winds were kept in a cave.,,10/1/2006
15019,Aeolis Dorsa,Aeolis Dorsa,Mars,459.17,-5.05,152.63,-1.03,-8.13,156.42,148.6,Planetocentric  +East  0 - 360,Europe,Greek,"Dorsum, dorsa",DO,mc23,Approved,27-Jul-12,71,Classical albedo feature name.,,7/27/2012
66,Aeolis Mensae,Aeolis Mensae,Mars,785.09,-3.25,140.63,2.07,-6.56,146.95,135.33,Planetocentric  +East  0 - 360,Europe,Greek,"Mensa, mensae",MN,mc23,Approved,1976,57,Classical albedo feature name.,,10/1/2006
15000,Aeolis Mons,Aeolis Mons,Mars,88.99,-5.08,137.85,-4.46,-5.61,138.62,137.11,Planetocentric  +East  0 - 360,Europe,Greek,"Mons, montes",MO,mc23,Approved,16-May-12,71,Classical albedo feature name.,,5/16/2012
15001,Aeolis Palus,Aeolis Palus,Mars,111.63,-4.47,137.42,-4.18,-5.39,138.65,136.75,Planetocentric  +East  0 - 360,Europe,Greek,"Palus, paludes",PA,mc23,Approved,16-May-12,71,Classical albedo feature name.,,5/16/2012
14165,Aeolis Planum,Aeolis Planum,Mars,852.81,-1.14,144.76,4.4,-6.68,149.98,139.08,Planetocentric  +East  0 - 360,Europe,Greek,"Planum, plana",PM,mc23,Approved,2006,71,Classical albedo feature name.,,10/1/2006
15031,Aeolis Serpens,Aeolis Serpens,Mars,538.55,-1.38,149.57,2.48,-4.9,152,147.68,Planetocentric  +East  0 - 360,Europe,Greek,"Serpens, serpentes",SE,mc23,Approved,27-Aug-12,57,Classical albedo feature name.,,8/27/2012
68,Aeria,Aeria,Mars,0,9.88,50,9.88,9.88,50,50,Planetocentric  +East  0 - 360,Europe,Greek,Albedo Feature,AL,mc13,Approved,1958,60,"Greek name for Egypt; ""far land of mist"".",,10/1/2006
69,Aesacus Dorsum,Aesacus Dorsum,Mars,276.69,36.82,153.15,38.69,34.7,154.72,152.28,Planetocentric  +East  0 - 360,Europe,Greek,"Dorsum, dorsa",DO,mc07,Approved,1985,57,"From albedo feature at 45N, 205W.",,10/1/2006
71,Aetheria,Aetheria,Mars,0,39.67,130,39.67,39.67,130,130,Planetocentric  +East  0 - 360,Europe,Greek,Albedo Feature,AL,mc07,Approved,1958,60,Upper world; land of living.,,10/1/2006
72,Aethiopis,Aethiopis,Mars,0,9.88,130,9.88,9.88,130,130,Planetocentric  +East  0 - 360,Europe,Greek,Albedo Feature,AL,mc14,Approved,1958,60,Countries of the Ethiopians on southern edge of the Earth.,,10/1/2006
79,Aganippe Fossa,Aganippe Fossa,Mars,537.16,-8.49,234,-4.06,-12.85,235.23,233.14,Planetocentric  +East  0 - 360,Europe,Greek,"Fossa, fossae",FO,mc17,Approved,1976,57,Classical albedo feature name.,,10/1/2006
81,Agassiz,Agassiz,Mars,108.77,-69.88,271.11,-68.97,-70.8,273.8,268.46,Planetocentric  +East  0 - 360,North America,American,"Crater, craters",AA,mc30,Approved,1973,68,Jean L.; American naturalist (1807-1873).,,11/17/2010
114,Airy,Airy,Mars,43.05,-5.14,0.05,-4.77,-5.5,0.42,-0.31,Planetocentric  +East  0 - 360,Europe,Great Britain,"Crater, craters",AA,mc20,Approved,1973,68,George B.; British astronomer (1801-1892).,,11/17/2010
115,Airy-0,Airy 0,Mars,0.79,-5.07,0,-5.07,-5.08,0.01,-0.01,Planetocentric  +East  0 - 360,Europe,Great Britain,"Crater, craters",AA,mc20,Approved,2003,309,Small crater within crater Airy that defines zero degrees longitude on Mars.,,9/11/2013
124,Ajon,Ajon,Mars,8.08,16.49,103.14,16.56,16.42,103.21,103.07,Planetocentric  +East  0 - 360,Europe,Russia,"Crater, craters",AA,mc14,Approved,1988,36,Town in Russia.,,11/17/2010
131,Aki,Aki,Mars,7.87,-35.46,299.76,-35.4,-35.53,299.84,299.68,Planetocentric  +East  0 - 360,Asia,Japan,"Crater, craters",AA,mc25,Approved,1979,36,Town in Japan.,,11/17/2010
139,Aktaj,Aktaj,Mars,5.01,20.41,313.51,20.45,20.37,313.56,313.47,Planetocentric  +East  0 - 360,Europe,Russia,"Crater, craters",AA,mc10,Approved,1988,36,Town in Russia.,,11/17/2010
14183,Alamos,Alamos,Mars,6.44,23.48,322.88,23.54,23.43,322.93,322.82,Planetocentric  +East  0 - 360,North America,Mexico,"Crater, craters",AA,mc11,Approved,14-Sep-06,179,Town in Mexico.,,11/17/2010
157,Alba Catena,Alba Catena,Mars,144.86,35.04,245.42,36.26,33.83,245.44,245.35,Planetocentric  +East  0 - 360,Europe,Latin,"Catena, catenae",CA,mc03,Approved,1985,57,Classical albedo name.,,10/1/2006
158,Alba Fossae,Alba Fossae,Mars,2072.02,49.39,253.18,66.91,33.89,264.08,243.77,Planetocentric  +East  0 - 360,Europe,Latin,"Fossa, fossae",FO,mc03,Approved,1973,57,Classical albedo name.,,10/1/2006
14306,Alba Mons,Alba Mons,Mars,548.02,41.08,249.29,45.63,36.53,255.21,243.71,Planetocentric  +East  0 - 360,Europe,Latin,"Mons, montes",MO,mc03,Approved,19-Sep-07,57,Classical albedo feature name.,Name introduced to represent the entire edifice. See the entry for Alba Patera.,9/19/2007
160,Albany,Albany,Mars,2.15,22.96,310.98,22.98,22.94,311,310.96,Planetocentric  +East  0 - 360,North America,United States,"Crater, craters",AA,mc10,Approved,1979,36,American colonial town (New York).,,11/17/2010
159,Alba Patera,Alba Patera,Mars,65.98,39.53,250.82,39.94,39.14,251.55,250.12,Planetocentric  +East  0 - 360,Europe,Latin,"Patera, paterae",PE,mc03,Approved,1973,57,Classical albedo name.,"Size changed Sept. 19, 2007 to correspond only to the central depression.",9/19/2007
164,Albi,Albi,Mars,9.07,-41.47,324.99,-41.4,-41.55,325.1,324.89,Planetocentric  +East  0 - 360,Europe,France,"Crater, craters",AA,mc26,Approved,1976,36,Town in France.,,11/17/2010
165,Albor Fossae,Albor Fossae,Mars,155,18.09,150.78,18.6,17.74,151.95,149.43,Planetocentric  +East  0 - 360,Europe,Latin,"Fossa, fossae",FO,mc15,Approved,1985,57,"From albedo feature at 20N, 205W.",,10/1/2006
166,Albor Tholus,Albor Tholus,Mars,158.38,18.87,150.47,19.99,17.63,151.88,149.06,Planetocentric  +East  0 - 360,Europe,Latin,"Tholus, tholi",TH,mc15,Approved,1973,57,Classical albedo feature name.,,10/1/2006
178,Alexey Tolstoy,Alexey Tolstoy,Mars,93.04,-47.44,125.34,-46.65,-48.22,126.5,124.18,Planetocentric  +East  0 - 360,Europe,Soviet,"Crater, craters",AA,mc29,Approved,1982,,Aleksey; Soviet writer (1882-1945).,,11/17/2010
182,Alga,Alga,Mars,18.72,-24.34,333.32,-24.18,-24.5,333.5,333.15,Planetocentric  +East  0 - 360,Asia,Kazakhstan,"Crater, craters",AA,mc19,Approved,1976,36,Town in Kazakhstan.,,11/17/2010
189,Alitus,Alitus,Mars,50,-34.91,321.86,-34.51,-35.31,322.16,321.56,Planetocentric  +East  0 - 360,Europe,Lithuania,"Crater, craters",AA,mc26,Approved,1979,58,"(Alytus), town in Lithuania.",,7/22/2013
193,Allegheny Vallis,Allegheny Vallis,Mars,171.08,-9.01,306.1,-8.41,-9.73,307.21,305.06,Planetocentric  +East  0 - 360,North America,United States,"Vallis, valles",VA,mc18,Approved,2003,74,"River in Pennsylvania, USA.",,10/30/2008
15605,Alnif,Alnif,Mars,23.99,-15.14,328.91,-14.93,-15.33,329.11,328.68,Planetocentric  +East  0 - 360,Africa,Morocco,"Crater, craters",AA,mc19,Approved,5-Jul-17,74,Town in Morocco.,,7/5/2017
205,Alpheus Colles,Alpheus Colles,Mars,633.03,-39.38,61.53,-34.4,-44.51,66.5,56.68,Planetocentric  +East  0 - 360,Europe,Greek,"Collis, colles",CO,mc28,Approved,1985,55,"From albedo feature at 45S, 292W.",,10/1/2006
151,Al-Qahira Vallis,Al Qahira Vallis,Mars,600,-18.23,162.41,-14.41,-21.79,165.36,159.61,Planetocentric  +East  0 - 360,Asia,Indonesia,"Vallis, valles",VA,mc23,Approved,1973,62,"Word for 'Mars' in Arabic, Indonesian, Malay.",,10/1/2006
218,Amazonis,Amazonis,Mars,0,0,220,0,0,220,220,Planetocentric  +East  0 - 360,Europe,Greek,Albedo Feature,AL,,Approved,1958,60,Land of the Amazons; on the island Hesperia.,,10/1/2006
219,Amazonis Mensa,Amazonis Mensa,Mars,414.04,-1.98,213.1,0.96,-4.09,216.33,210.26,Planetocentric  +East  0 - 360,Europe,Greek,"Mensa, mensae",MN,mc16,Approved,2003,60,Classical albedo feature name.,,10/1/2006
220,Amazonis Planitia,Amazonis Planitia,Mars,2809.04,25.75,197.09,49.75,2.14,219.42,180.34,Planetocentric  +East  0 - 360,Europe,Greek,"Planitia, planitiae",PL,mc08,Approved,1973,57,Classical albedo feature name; home of the Amazons.,,6/21/2012
