Feature_ID,Feature_Name,Clean_Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Northern_Latitude,Southern_Latitude,Eastern_Longitude,Western_Longitude,Coordinate_System,Continent,Ethnicity,Feature_Type,Feature_Type_Code,Quad,Approval_Status,Approval_Date,Reference,Origin,Additional_Info,Last_Updated
14574,Abedin,Abedin,Mercury,116.23,61.73,349.34,63.08,60.39,352.18,346.5,Planetocentric  +East  0 - 360,Asia,Bangladesh,"Crater, craters",AA,H-02,Approved,9-Jul-09,211,Zainul; Bangladeshi painter and printmaker (1914-1976).,,3/7/2011
21,Abu Nuwas,Abu Nuwas,Mercury,117,17.63,338.81,19,16.26,340.25,337.37,Planetocentric  +East  0 - 360,Asia,Syria,"Crater, craters",AA,H-06,Approved,1976,59,Arab poet (c. 1756-1810).,,10/7/2016
60,Adventure Rupes,Adventure Rupes,Mercury,340,-65.48,294.7,-63.5,-65.56,301.6,287.22,Planetocentric  +East  0 - 360,Europe,England,"Rupes, rupēs",RU,H-15,Approved,1976,59,"English; one of Cook's ships on second voyage to the Pacific, 1772-75.",,10/7/2016
76,Africanus Horton,Africanus Horton,Mercury,140,-50.96,318.81,-49.32,-52.59,321.17,316.44,Planetocentric  +East  0 - 360,Africa,Sierra Leone,"Crater, craters",AA,H-11,Approved,1976,59,"(James Beale); Sierra Leonean author, folklorist (1835-1883).",,10/7/2016
99,Ahmad Baba,Ahmad Baba,Mercury,126,58.33,231.65,59.8,56.84,234.47,228.82,Planetocentric  +East  0 - 360,Africa,Sudan,"Crater, craters",AA,H-03,Approved,1979,59,"Abu-a;-Abbas Aj,Ad Obm Aj,Ad a;-Takruri Al-Massufi; Sudanese writer (1556-1627).",,10/7/2016
14953,Ailey,Ailey,Mercury,23,45.58,177.92,45.86,45.31,178.25,177.6,Planetocentric  +East  0 - 360,North America,United States,"Crater, craters",AA,H-04,Approved,24-Apr-12,75,Alvin; American dancer and choreographer (1931-1989).,,10/7/2016
14954,Aksakov,Aksakov,Mercury,174,34.71,281.26,36.75,32.67,283.6,278.91,Planetocentric  +East  0 - 360,Europe,Russia,"Crater, craters",AA,H-02,Approved,24-Apr-12,75,Sergey; Russian author (1791-1859).,,10/7/2016
15386,Akutagawa,Akutagawa,Mercury,106,48.25,218.91,49.4,47.1,220.78,217.04,Planetocentric  +East  0 - 360,Asia,Japan,"Crater, craters",AA,H-03,Approved,25-Sep-15,59,Ryunosuke; Japanese writer (1892-1927).,,10/7/2016
144,Al-Akhtal,Al Akhtal,Mercury,94.29,59.38,260.29,60.6,58.17,262.68,257.91,Planetocentric  +East  0 - 360,Asia,Arabian,"Crater, craters",AA,H-03,Approved,1985,59,Arab poet (c. 640-710).,,3/7/2011
176,Alencar,Alencar,Mercury,106,-63.64,256.22,-62.39,-64.87,259.01,253.44,Planetocentric  +East  0 - 360,South and Central America,Brazil,"Crater, craters",AA,H-12,Approved,1979,59,Jose de; Brazilian novelist (1829-1877).,,10/7/2016
147,Al-Hamadhani,Al Hamadhani,Mercury,164,39.19,268.24,41.11,37.26,270.71,265.77,Planetocentric  +East  0 - 360,Asia,Arabian,"Crater, craters",AA,H-03,Approved,1979,80,Arab writer (d. 1007).,,10/7/2016
148,Al-Jāhiz,Al Jahiz,Mercury,83,1.36,338.24,2.34,0.39,339.21,337.26,Planetocentric  +East  0 - 360,Asia,Arabian,"Crater, craters",AA,H-06,Approved,1976,80,Arab author (d. 869).,,10/7/2016
15097,Alver,Alver,Mercury,151.49,-66.97,77.25,-65.18,-68.73,81.8,72.7,Planetocentric  +East  0 - 360,Europe,Estonia,"Crater, craters",AA,H-15,Approved,15-Mar-13,289,Betti; Estonian poet (1906-1989).,,3/15/2013
15127,Alvin Rupes,Alvin Rupes,Mercury,188,8.3,151.28,10.29,6.19,151.64,150.88,Planetocentric  +East  0 - 360,North America,United States,"Rupes, rupēs",RU,H-08,Approved,3-Jun-13,297,"American; U.S.Navy's first deep submergence research vessel commissioned in 1964, designed specifically for oceanographic research.",,10/7/2016
14506,Amaral,Amaral,Mercury,105,-26.49,117.82,-25.25,-27.73,119.18,116.47,Planetocentric  +East  0 - 360,South and Central America,Brazil,"Crater, craters",AA,H-13,Approved,20-Nov-08,210,Tarsila do; Brazilian painter (1886-1973).,,10/7/2016
244,Amru Al-Qays,Amru Al Qays,Mercury,47,12.43,183.89,12.98,11.88,184.45,183.32,Planetocentric  +East  0 - 360,Asia,Arabian,"Crater, craters",AA,H-08,Approved,1976,80,Arab poet (pre-Islamic).,,10/7/2016
257,Andal,Andal,Mercury,109,-47.52,322.29,-46.25,-48.8,324.19,320.39,Planetocentric  +East  0 - 360,Asia,India,"Crater, craters",AA,H-11,Approved,1976,80,10th century Tamil (South Indian) writer.,,10/7/2016
15244,Aneirin,Aneirin,Mercury,467,-27.47,357.32,-22.59,-32.34,3.49,351.15,Planetocentric  +East  0 - 360,Europe,Wales,"Crater, craters",AA,H-11,Approved,23-Jun-14,59,Welsh poet (fl. 6th century).,,10/7/2016
15110,Angkor Vallis,Angkor Vallis,Mercury,94.96,57.28,114.04,58.45,56,115.55,112.5,Planetocentric  +East  0 - 360,Asia,Cambodia,"Vallis, valles",VA,H-04,Approved,30-Apr-13,59,Ancient city in Cambodia.,,4/30/2013
15621,Anguissola,Anguissola,Mercury,35.41,80.69,142.65,81.1,80.29,145.28,140.13,Planetocentric  +East  0 - 360,Europe,Italy,"Crater, craters",AA,H-01,Approved,4-Aug-17,59,Sofonisba; Italian painter (1532-1625),,8/4/2017
298,Antoniadi Dorsum,Antoniadi Dorsum,Mercury,359.4,27.2,330.35,30.97,23.24,330.38,328.5,Planetocentric  +East  0 - 360,Europe,Italy,"Dorsum, dorsa",DO,H-02,Approved,1976,80,"Eugene M.; Greco-French astronomer, defined classical nomenclature for albedo features of Mars (1870-1944).",,3/7/2011
