Feature_ID,Feature_Name,Clean_Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Northern_Latitude,Southern_Latitude,Eastern_Longitude,Western_Longitude,Coordinate_System,Continent,Ethnicity,Feature_Type,Feature_Type_Code,Quad,Approval_Status,Approval_Date,Reference,Origin,Additional_Info,Last_Updated
9,Abbe,Abbe,Moon,63.98,-57.58,174.77,-56.52,-58.63,176.74,172.81,Planetocentric  +East  0 - 360,Europe,Germany,"Crater, craters",AA,LAC-132,Approved,1970,68,"Ernst Karl; German optician, physicist, astronomer (1840-1905).",,10/18/2010
7027,Abbe H,Abbe H,Moon,25.13,-58.44,177.58,-58.03,-58.86,178.38,176.79,Planetocentric  +East  0 - 360,Europe,Germany,Satellite Feature,SF,LAC-132,Approved,2006,68,"Ernst Karl; German optician, physicist, astronomer (1840-1905).",,10/18/2010
7028,Abbe K,Abbe K,Moon,26.1,-59.82,176.86,-59.39,-60.25,177.71,176,Planetocentric  +East  0 - 360,Europe,Germany,Satellite Feature,SF,LAC-132,Approved,2006,68,"Ernst Karl; German optician, physicist, astronomer (1840-1905).",,10/18/2010
7029,Abbe M,Abbe M,Moon,28.61,-61.75,175.24,-61.27,-62.22,176.24,174.24,Planetocentric  +East  0 - 360,Europe,Germany,Satellite Feature,SF,LAC-132,Approved,2006,68,"Ernst Karl; German optician, physicist, astronomer (1840-1905).",,10/18/2010
10,Abbot,Abbot,Moon,10.4,5.56,54.74,5.73,5.38,54.92,54.57,Planetocentric  +East  0 - 360,North America,American,"Crater, craters",AA,LAC-62,Approved,1973,,Charles Greeley; American astrophysicist (1872-1973).,,10/18/2010
12,Abel,Abel,Moon,137.35,-34.63,85.78,-32.54,-36.77,88.21,83.43,Planetocentric  +East  0 - 360,Europe,Norway,"Crater, craters",AA,LAC-116,Approved,1964,89,Niels Henrik; Norwegian mathematician (1802-1829).,,10/18/2010
7030,Abel A,Abel A,Moon,27.83,-36.31,85.8,-35.86,-36.77,86.37,85.23,Planetocentric  +East  0 - 360,Europe,Norway,Satellite Feature,SF,LAC-116,Approved,2006,89,Niels Henrik; Norwegian mathematician (1802-1829).,,10/18/2010
7031,Abel B,Abel B,Moon,41.55,-36.72,82.6,-36.04,-37.41,83.45,81.74,Planetocentric  +East  0 - 360,Europe,Norway,Satellite Feature,SF,LAC-116,Approved,2006,89,Niels Henrik; Norwegian mathematician (1802-1829).,,10/18/2010
7032,Abel C,Abel C,Moon,36.84,-36.13,81.41,-35.52,-36.73,82.16,80.66,Planetocentric  +East  0 - 360,Europe,Norway,Satellite Feature,SF,LAC-115,Approved,2006,89,Niels Henrik; Norwegian mathematician (1802-1829).,,10/18/2010
7033,Abel D,Abel D,Moon,27.9,-37.67,86.45,-37.21,-38.13,87.04,85.87,Planetocentric  +East  0 - 360,Europe,Norway,Satellite Feature,SF,LAC-116,Approved,2006,89,Niels Henrik; Norwegian mathematician (1802-1829).,,10/18/2010
7034,Abel E,Abel E,Moon,14,-37.54,84.44,-37.3,-37.77,84.73,84.14,Planetocentric  +East  0 - 360,Europe,Norway,Satellite Feature,SF,LAC-116,Approved,2006,89,Niels Henrik; Norwegian mathematician (1802-1829).,,10/18/2010
7035,Abel J,Abel J,Moon,18.76,-36.2,79.87,-35.89,-36.51,80.25,79.49,Planetocentric  +East  0 - 360,Europe,Norway,Satellite Feature,SF,LAC-115,Approved,2006,89,Niels Henrik; Norwegian mathematician (1802-1829).,,10/18/2010
7036,Abel K,Abel K,Moon,9.94,-34.69,77.46,-34.53,-34.86,77.66,77.26,Planetocentric  +East  0 - 360,Europe,Norway,Satellite Feature,SF,LAC-115,Approved,2006,89,Niels Henrik; Norwegian mathematician (1802-1829).,,10/18/2010
7037,Abel L,Abel L,Moon,54.13,-34.55,82.39,-33.66,-35.45,83.48,81.32,Planetocentric  +East  0 - 360,Europe,Norway,Satellite Feature,SF,LAC-116,Approved,2006,89,Niels Henrik; Norwegian mathematician (1802-1829).,,10/18/2010
7038,Abel M,Abel M,Moon,91.01,-32.38,83.52,-30.88,-33.88,85.3,81.74,Planetocentric  +East  0 - 360,Europe,Norway,Satellite Feature,SF,LAC-116,Approved,2006,89,Niels Henrik; Norwegian mathematician (1802-1829).,,10/18/2010
14,Abenezra,Abenezra,Moon,43.19,-20.99,11.89,-20.28,-21.71,12.65,11.13,Planetocentric  +East  0 - 360,Europe,Spain,"Crater, craters",AA,LAC-96,Approved,1935,89,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",,10/18/2010
7039,Abenezra A,Abenezra A,Moon,22.19,-22.79,10.44,-22.43,-23.16,10.84,10.05,Planetocentric  +East  0 - 360,Europe,Spain,Satellite Feature,SF,LAC-96,Approved,2006,89,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",,10/18/2010
7040,Abenezra B,Abenezra B,Moon,13.77,-20.82,10.06,-20.59,-21.04,10.31,9.82,Planetocentric  +East  0 - 360,Europe,Spain,Satellite Feature,SF,LAC-96,Approved,2006,89,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",,10/18/2010
