Feature_ID,Feature_Name,Clean_Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Northern_Latitude,Southern_Latitude,Eastern_Longitude,Western_Longitude,Coordinate_System,Continent,Ethnicity,Feature_Type,Feature_Type_Code,Quad,Approval_Status,Approval_Date,Reference,Origin,Additional_Info,Last_Updated
11,Abe Mango Dorsa,Abe Mango Dorsa,Venus,800,47,212,47,47,212,212,Planetocentric  +East  0 - 360,South and Central America,Brazil,"Dorsum, dorsa",DO,v15,Approved,1997,107,Tukano (Brazil) daughter of sun god.,,10/1/2006
15,Abeona Mons,Abeona Mons,Venus,375,-44.8,273.1,-44.8,-44.8,273.1,273.1,Planetocentric  +East  0 - 360,Europe,Roman,"Mons, montes",MO,v53,Approved,1997,83,Roman goddess of travelers.,,10/1/2006
17,Abigail,Abigail,Venus,18.4,-52.2,111.2,-52.2,-52.2,111.2,111.2,Planetocentric  +East  0 - 360,Asia,Hebrew,"Crater, craters",AA,v57,Approved,1994,82,First name from Hebrew.,,10/1/2006
18,Abika,Abika,Venus,14.5,-52.5,104.4,-52.5,-52.5,104.4,104.4,Planetocentric  +East  0 - 360,Europe,Russia,"Crater, craters",AA,v57,Approved,1994,107,Mari first name.,,12/30/2008
19,Abington,Abington,Venus,21.7,-47.8,277.7,-47.8,-47.8,277.7,277.7,Planetocentric  +East  0 - 360,Europe,England,"Crater, craters",AA,v53,Approved,1994,99,Frances; English actress (1737-1815).,,10/1/2006
20,Abra,Abra,Venus,7.2,6.2,97.4,6.2,6.2,97.4,97.4,Planetocentric  +East  0 - 360,Africa,Ghana,"Crater, craters",AA,v23,Approved,1997,107,Ewe first name.,,10/1/2006
24,Abundia Corona,Abundia Corona,Venus,250,18.5,125,18.5,18.5,125,125,Planetocentric  +East  0 - 360,Europe,Norse,"Corona, coronae",CR,v24,Approved,1994,27,Norse goddess of giving.,,10/1/2006
30,Achall Corona,Achall Corona,Venus,265,-31.2,259.6,-29.9,-32.5,261.2,258.1,Planetocentric  +East  0 - 360,Europe,Celtic,"Corona, coronae",CR,v52,Approved,2006,127,Celtic earth and nature goddess.,,10/1/2006
32,Achek Dorsa,Achek Dorsa,Venus,1000,-37.2,230,-37.2,-37.2,230,230,Planetocentric  +East  0 - 360,Africa,Sudan,"Dorsum, dorsa",DO,v51,Approved,1997,107,Dinka (Sudan) wife of rain god Deng.,,10/1/2006
41,Acrea Corona,Acrea Corona,Venus,200,24.2,243.7,25,23.2,245.4,242.3,Planetocentric  +East  0 - 360,Europe,Greek,"Corona, coronae",CR,v28,Approved,2003,83,Greek resplendent mother goddess.,,10/1/2006
43,Adaiah,Adaiah,Venus,18,-47.3,253.4,-47.3,-47.3,253.4,253.4,Planetocentric  +East  0 - 360,Asia,Hebrew,"Crater, craters",AA,v52,Approved,1994,83,Hebrew first name.,,10/1/2006
48,Adamson,Adamson,Venus,27.2,-14.8,29.6,-14.8,-14.8,29.6,29.6,Planetocentric  +East  0 - 360,Europe,Austria,"Crater, craters",AA,v32,Approved,1994,99,"Joy; Austrian author, animal expert (1910-1980).",,10/1/2006
