Feature_Type_Code,Feature_Type,color
AA,"Crater, craters",#34E249
AL,Albedo Feature,#6CA92D
CA,"Catena, catenae",#A04BBD
CB,"Cavus, cavi",#2236ED
CH,"Chaos, chaoses",#C7E73C
CM,"Chasma, chasmata",#998986
CO,"Collis, colles",#9A31AA
DO,"Dorsum, dorsa",#166DD7
FL,"Fluctus, fluctÅ«s",#3B78DE
FO,"Fossa, fossae",#36DD73
LA,"Labes, labÄs",#33BBBB
LB,"Labyrinthus, labyrinthi",#2B389C
LN,"Lingula, lingulae",#09AE58
MN,"Mensa, mensae",#7807F8
MO,"Mons, montes",#5BD491
PA,"Palus, paludes",#54884B
PE,"Patera, paterae",#C422D4
PL,"Planitia, planitiae",#3AE27D
PM,"Planum, plana",#B9FB75
RU,"Rupes, rupÄs",#FF847C
SC,"Scopulus, scopuli",#0FA8A3
SE,"Serpens, serpentes",#0BB294
SU,"Sulcus, sulci",#0D754F
TA,"Terra, terrae",#08999F
TH,"Tholus, tholi",#525CC0
UN,"Unda, undae",#DDC26B
VA,"Vallis, valles",#5AEDAD
VS,"Vastitas, vastitates",#DB504E
